symbol,timestamp,total_revenue,cost_of_revenue,gross_profit,operating_income,net_income,diluted_eps,total_assets,total_liabilities,total_equity,cash_and_equivalents,inventory,operating_cash_flow,capital_expenditures,free_cash_flow,shares_outstanding
ABB,2017-04-29,,,,,,,,,,,,,,,212224992.0
ABB,2017-05-01,,,,,,,,,,,,,,,212036000.0
ABB,2017-05-02,,,,,,,,,,,,,,,212036000.0
ABB,2017-05-04,,,,,,,,,,,,,,,212184000.0
ABB,2017-05-07,,,,,,,,,,,,,,,212184000.0
ABB,2017-05-12,,,,,,,,,,,,,,,212004000.0
ABB,2017-05-13,,,,,,,,,,,,,,,212004000.0
ABB,2017-05-15,,,,,,,,,,,,,,,211186000.0
ABB,2017-05-16,,,,,,,,,,,,,,,211186000.0
ABB,2017-05-19,,,,,,,,,,,,,,,212019008.0
ABB,2017-05-21,,,,,,,,,,,,,,,212019008.0
ABB,2017-05-22,,,,,,,,,,,,,,,212019008.0
ABB,2017-05-23,,,,,,,,,,,,,,,212566000.0
ABB,2017-05-24,,,,,,,,,,,,,,,212566000.0
ABB,2017-05-25,,,,,,,,,,,,,,,211864992.0
ABB,2017-05-31,,,,,,,,,,,,,,,212350000.0
ABB,2017-06-05,,,,,,,,,,,,,,,211396000.0
ABB,2017-06-07,,,,,,,,,,,,,,,211396000.0
ABB,2017-06-09,,,,,,,,,,,,,,,211396000.0
ABB,2017-06-12,,,,,,,,,,,,,,,211396000.0
ABB,2017-06-15,,,,,,,,,,,,,,,211396000.0
ABB,2017-06-16,,,,,,,,,,,,,,,211396000.0
ABB,2017-06-23,,,,,,,,,,,,,,,211382000.0
ABB,2017-06-25,,,,,,,,,,,,,,,211382000.0
ABB,2017-06-26,,,,,,,,,,,,,,,211496992.0
ABB,2017-06-27,,,,,,,,,,,,,,,211496992.0
ABB,2017-06-29,,,,,,,,,,,,,,,211614000.0
ABB,2017-07-01,,,,,,,,,,,,,,,211614000.0
ABB,2017-07-10,,,,,,,,,,,,,,,212374000.0
ABB,2017-07-12,,,,,,,,,,,,,,,212484992.0
ABB,2017-07-17,,,,,,,,,,,,,,,212246000.0
ABB,2017-07-19,,,,,,,,,,,,,,,212246000.0
ABB,2017-07-25,,,,,,,,,,,,,,,211528992.0
ABB,2017-07-27,,,,,,,,,,,,,,,211528992.0
ABB,2017-07-28,,,,,,,,,,,,,,,211575008.0
ABB,2017-07-29,,,,,,,,,,,,,,,211575008.0
ABB,2017-08-03,,,,,,,,,,,,,,,211575008.0
ABB,2017-08-05,,,,,,,,,,,,,,,212059008.0
ABB,2017-08-08,,,,,,,,,,,,,,,211708000.0
